ら戳,琍戳,キ安ら,瞓畃ㄑ筿(MW),畃璽更(MW),称锣甧秖(MW),ら戳,琍戳,キ安ら,瞓畃ㄑ筿(MW),畃璽更(MW),称锣甧秖(MW),ら戳,琍戳,キ安ら,瞓畃ㄑ筿(MW),畃璽更(MW),称锣甧秖(MW)
20210101,き,安,,,2767,20200103,き,キ,,,3384,20190104,き,キ,30301,28490,1811
20210102,せ,安,28421,25485,2936,20200104,せ,安,29219,25583,3636,20190105,せ,安,27957,26054,1903
20210103,ら,安,28513,25476,3037,20200105,ら,安,27456,24761,2695,20190106,ら,安,26950,24617,2333
20210104,,キ,32766,29734,3032,20200106,,キ,31653,28644,3009,20190107,,キ,30336,28536,1800
20210105,,キ,33117,30050,3067,20200107,,キ,32248,29144,3104,20190108,,キ,30562,28719,1843
20210106,,キ,33429,30327,3102,20200108,,キ,31779,28544,3235,20190109,,キ,30595,28641,1954
20210107,,キ,33602,30500,3102,20200109,,キ,31861,28730,3131,20190110,,キ,30853,29006,1847
20210108,き,キ,33518,30412,3106,20200110,き,キ,31774,28476,3298,20190111,き,キ,30682,28798,1884
20210109,せ,安,31269,28068,3201,20200111,せ,安,29193,25342,3851,20190112,せ,安,28402,25905,2497
20210110,ら,安,30161,27255,2906,20200112,ら,安,27933,24842,3091,20190113,ら,安,27027,24629,2398
20210111,,キ,33772,30679,3093,20200113,,キ,31804,28647,3157,20190114,,キ,30093,28348,1745
20210112,,キ,33749,30633,3116,20200114,,キ,32213,28801,3412,20190115,,キ,30731,28887,1844
20210113,,キ,33108,29994,3114,20200115,,キ,31817,28431,3386,20190116,,キ,30498,28649,1849
20210114,,キ,33153,30021,3132,20200116,,キ,31719,28714,3005,20190117,,キ,30328,28395,1933
20210115,き,キ,32864,29555,3309,20200117,き,キ,31585,28186,3399,20190118,き,キ,29691,27756,1935
20210116,せ,安,30167,27121,3046,20200118,せ,安,29228,26068,3160,20190119,せ,キ,,,
20210117,ら,安,29746,26712,3034,20200119,ら,安,28656,25322,3334,20190120,ら,安,27138,24539,2599
20210118,,キ,33095,29938,3157,20200120,,キ,31153,27970,3183,20190121,,キ,29654,27739,1915
20210119,,キ,33148,29990,3158,20200121,,キ,30776,27517,3259,20190122,,キ,30061,28140,1921
20210120,,キ,33134,29984,3150,20200122,,キ,29635,25748,3887,20190123,,キ,29776,27838,1938
20210121,,キ,,,3074,20200123,,安,,,,20190124,,キ,29735,27863,1872
20210122,き,キ,,,3097,20200124,き,安,,,,20190125,き,キ,29202,27296,1906
20210123,せ,安,,,3203,20200125,せ,安,,,,20190126,せ,安,27817,25282,2535
20210124,ら,安,,,3073,20200126,ら,安,,,,20190127,ら,安,26506,24414,2092
20210125,,キ,,,3269,20200127,,安,,,,20190128,,キ,29363,27557,1806
20210126,,キ,,,3219,20200128,,安,,,,20190129,,キ,29690,27858,1832
20210127,,キ,,,3064,20200129,,安,,,,20190130,,キ,29570,27760,1810
20210128,,キ,32843,29557,3286,20200130,,キ,29314,26323,2991,20190131,,キ,29071,27181,1890
20210129,き,キ,32472,29269,3203,20200131,き,キ,30075,26714,3361,20190201,き,キ,26857,24709,2148
20210130,せ,安,30109,26662,3447,20200201,せ,安,29101,25211,3890,20190202,せ,安,,,
20210131,ら,安,28364,25458,2906,20200202,ら,安,28063,24816,3247,20190203,ら,安,,,
20210201,,キ,,,2938,20200203,,キ,32048,27960,4088,20190204,,安,,,
20210202,,キ,,,3045,20200204,,キ,31745,28443,3302,20190205,,安,,,
20210203,,キ,,,3006,20200205,,キ,32040,28397,3643,20190206,,安,,,
20210204,,キ,,,3132,20200206,,キ,31829,28482,3347,20190207,,安,,,
20210205,き,キ,,,3060,20200207,き,キ,32042,28275,3767,20190208,き,安,,,
